"Bug ID","Version"
343531,"2.0 Branch"
345452,"unspecified"
346994,"Trunk"
348276,"unspecified"
348403,"unspecified"
348868,"2.0 Branch"
348917,"Trunk"
349076,"Trunk"
350026,"2.0 Branch"
350354,"unspecified"
350679,"Trunk"
351624,"unspecified"
352082,"unspecified"
353056,"Trunk"
353426,"2.0 Branch"
353429,"2.0 Branch"
353591,"Trunk"
353673,"Trunk"
355640,"2.0 Branch"
355934,"2.0 Branch"
355990,"unspecified"
356848,"unspecified"
357499,"2.0 Branch"
357764,"unspecified"
359867,"unspecified"
362236,"unspecified"
366879,"unspecified"
367532,"Trunk"
367596,"unspecified"
374023,"unspecified"
380466,"unspecified"
381413,"unspecified"
381442,"unspecified"
381758,"Trunk"
381936,"unspecified"
382016,"unspecified"
382017,"unspecified"
382020,"unspecified"
383715,"unspecified"
383817,"unspecified"
384004,"unspecified"
384312,"2.0 Branch"
384420,"Trunk"
384924,"unspecified"
385101,"unspecified"
386473,"Trunk"
389414,"unspecified"
389469,"unspecified"
390397,"unspecified"
390408,"unspecified"
390725,"unspecified"
391461,"unspecified"
392415,"2.0 Branch"
393122,"unspecified"
393504,"unspecified"
393687,"Trunk"
394479,"unspecified"
394699,"unspecified"
394710,"unspecified"
395131,"unspecified"
395294,"Trunk"
395980,"Trunk"
397431,"unspecified"
397433,"unspecified"
397699,"unspecified"
397723,"Trunk"
397731,"unspecified"
397851,"unspecified"
399572,"Trunk"
399615,"Trunk"
399928,"Trunk"
401748,"unspecified"
401828,"unspecified"
402138,"unspecified"
402144,"unspecified"
402151,"unspecified"
402258,"unspecified"
402736,"unspecified"
402977,"unspecified"
404434,"unspecified"
405018,"unspecified"
405864,"unspecified"
406499,"Trunk"
406977,"2.0 Branch"
407578,"Trunk"
407874,"unspecified"
407929,"Trunk"
408015,"unspecified"
408415,"unspecified"
409786,"unspecified"
410930,"unspecified"
411619,"Trunk"
411669,"3.6 Branch"
413112,"unspecified"
413307,"Trunk"
413504,"Trunk"
413964,"Trunk"
416094,"unspecified"
416252,"unspecified"
416456,"unspecified"
416909,"Trunk"
417423,"unspecified"
417607,"Trunk"
417918,"unspecified"
418830,"unspecified"
419439,"Trunk"
419699,"Trunk"
420666,"unspecified"
421060,"Trunk"
421489,"Trunk"
422953,"Trunk"
424590,"Trunk"
425281,"Trunk"
425392,"unspecified"
425971,"unspecified"
425990,"unspecified"
426724,"Trunk"
427879,"unspecified"
428644,"unspecified"
428655,"Trunk"
429282,"Trunk"
429287,"Trunk"
430336,"unspecified"
430557,"Trunk"
430791,"Trunk"
431505,"unspecified"
431880,"unspecified"
431904,"unspecified"
433137,"Trunk"
433422,"Trunk"
433688,"3.0 Branch"
433825,"Trunk"
433875,"unspecified"
434032,"unspecified"
434153,"Trunk"
434596,"unspecified"
434666,"unspecified"
434836,"3.0 Branch"
436248,"Trunk"
437014,"3.0 Branch"
437767,"unspecified"
437992,"unspecified"
438411,"unspecified"
438761,"3.0 Branch"
438911,"Trunk"
439804,"unspecified"
439850,"3.0 Branch"
439872,"unspecified"
439938,"unspecified"
439988,"unspecified"
440119,"3.0 Branch"
440644,"3.0 Branch"
441070,"unspecified"
441845,"unspecified"
441984,"3.0 Branch"
443548,"2.0 Branch"
444080,"unspecified"
445065,"unspecified"
445498,"Trunk"
445779,"Trunk"
446005,"unspecified"
446064,"unspecified"
446235,"unspecified"
446704,"3.0 Branch"
449763,"unspecified"
449929,"Trunk"
452126,"unspecified"
453274,"3.0 Branch"
454243,"unspecified"
454592,"Trunk"
455244,"unspecified"
458102,"unspecified"
458866,"Trunk"
460630,"unspecified"
460891,"unspecified"
462352,"unspecified"
462743,"unspecified"
463386,"Trunk"
463944,"unspecified"
464410,"unspecified"
464930,"unspecified"
465738,"unspecified"
466282,"unspecified"
466740,"Trunk"
467113,"Trunk"
467130,"Trunk"
467868,"Trunk"
469082,"Trunk"
469260,"Trunk"
469561,"unspecified"
469576,"Trunk"
470051,"unspecified"
471333,"unspecified"
472226,"Trunk"
472625,"3.5 Branch"
472739,"unspecified"
472966,"Trunk"
474398,"unspecified"
474637,"unspecified"
475008,"3.0 Branch"
475358,"Trunk"
478719,"unspecified"
