artf_name,BR_4020_SRC,BR_3890_SRC,BR_3844_SRC,BR_4065_SRC,BR_3880_SRC,BR_3987_SRC,BR_4067_SRC,BR_3973_SRC,BR_3898_SRC,BR_3908_SRC,BR_4058_SRC,BR_4018_SRC,BR_4005_SRC,BR_3974_SRC
UC_003_TRG,7.089528438783385,0.0,0.9237430070926754,1.1146499263533052,2.150948199528406,0.3554759961923841,4.012594714489656,1.697276769458281,3.3427321549046347,3.4613186050062876,1.2272051924357303,5.756606592967931,7.164948357558208,0.0
UC_007_TRG,9.834788297059136,1.797494949192534,1.8104385369878302,0.0,0.7421839228913623,0.36668842481949737,3.204763842289404,0.5425607086956632,0.7421839228913623,1.0968587903674973,9.115214484237036,4.190158748456659,0.3304402766384055,0.0
UC_010_TRG,16.810307031088538,0.0,6.353956629473365,0.1833352780508568,1.3333684106423547,0.34797563555823063,0.916676390254284,0.1833352780508568,2.280732933923458,17.809226577625527,0.1833352780508568,2.415046944321169,1.4699300715089327,0.0
UC_002_TRG,5.330880852896592,0.0,0.0,0.1928503402166282,1.5331585697453605,0.34209443519821287,2.128453697066423,2.1013171939101762,1.219133645811267,0.877039210613054,0.34209443519821287,4.030715783722323,2.237427210249624,0.0
UC_006_TRG,5.080510831054051,0.0,0.0,0.241238749630178,0.3683037725628561,0.33858093928352734,2.4521560994915363,0.6095425221930342,1.7114654954098663,0.9581716952992247,0.3683037725628561,4.9428098345332945,2.29040501844624,0.0
UC_004_TRG,3.906332346239225,0.0,0.0,0.0,1.5244725570767244,0.3511353598787769,3.6827712239344708,2.108979012646536,1.0534060796363307,0.7136168061422854,0.3511353598787769,3.8860177817004566,5.459719951353749,0.0
UC_005_TRG,5.319834573734389,0.0,0.0,0.18640089550758132,0.3715056893348178,0.3497954860550777,2.502583089156352,0.8168933989163927,1.7049210352543478,0.9077020708974768,0.3715056893348178,5.111545580966956,2.3672855996352573,0.0
UC_008_TRG,13.300458620189277,0.0,0.0,3.0287162271137578,9.086148681341273,0.3507043951155784,6.0574324542275155,0.48557783261784526,6.0574324542275155,3.3648675893654305,0.0,7.028082889257956,31.08741729764962,0.0
UC_001_TRG,2.346082621937658,0.0,1.0315770437044174,1.2930685471955459,1.1356267278849366,0.35696563665873676,3.094731131113252,0.455406453366881,2.949481484057128,8.640988199055803,0.0,4.156527226433282,4.604120471461446,0.0
UC_009_TRG,5.418284348957087,1.9310588836138698,1.1242144034683363,0.17749691925228026,1.3017113227206165,0.3443921574187215,0.8874845962614013,0.17749691925228026,70.83152609974036,45.95968368314334,3.388839824625679,4.203115011338167,0.5005305383546196,0.0
