"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
54583,"Platform","UI","sxenos","RESOLVED","FIXED","[RCP] Presentations: Views go missing when switching perspectives","2004-03-26 13:11:34"
67729,"Platform","UI","eclipse","CLOSED","FIXED","NPE on startup (all the time!)","2004-07-06 09:32:29"
